Year,y,net_0,net_1,net_2
2001,348.3999999999999,268.78257431619227,253.03840743621896,290.3015973317246
2002,380.79999999999995,251.03700231448315,236.38155597743068,292.9381896109956
2003,105.79999999999998,220.6309116783034,171.45755444513944,300.28584288862334
2004,179.59999999999994,251.78148630245087,238.38039670759986,292.6896661657201
2005,165.69999999999996,295.25241704916573,309.55407268310563,283.8932908295249
2006,173.3,256.8618288763502,241.15856229537687,296.3389776715188
2007,414.3999999999999,261.87381502770086,251.31237630237234,293.68778323121325
2008,397.39999999999986,246.10503120932262,193.1960771627046,298.84722239640257
2009,310.7999999999999,214.88671832916953,181.2110990185984,297.1188217423043
2010,295.79999999999995,236.3447406785995,177.64825576699886,298.5178860275239
2011,226.79999999999995,296.56275290987224,293.3006260762084,295.1677566781777
2012,365.19999999999993,266.9454966543023,274.90552466942296,287.5136999491916
2013,314.59999999999997,284.2329471623927,275.2696307294009,291.86257411942955
2014,253.29999999999995,294.40638312118136,311.1820867456536,296.5344883560203
2015,303.6999999999999,215.22336836067126,193.16065352494505,287.96965833142775
