,Volume,Year,from
1,66.02666666666664,2001.0,y
2,98.42666666666668,2002.0,y
3,-176.57333333333332,2003.0,y
4,-102.77333333333334,2004.0,y
5,-116.67333333333335,2005.0,y
6,-109.07333333333332,2006.0,y
7,132.02666666666664,2007.0,y
8,115.02666666666664,2008.0,y
9,28.426666666666677,2009.0,y
10,13.426666666666677,2010.0,y
11,-55.57333333333332,2011.0,y
12,82.82666666666665,2012.0,y
13,32.22666666666669,2013.0,y
14,-29.073333333333323,2014.0,y
15,21.326666666666654,2015.0,y
16,-3.063287743734861,,net_0
17,-4.6807715213984125,,net_0
18,-4.297644779390112,,net_0
19,-3.986174474756808,,net_0
20,-2.272719795496357,,net_0
21,-3.8757974577120535,,net_0
22,-1.008136442352054,,net_0
23,-1.7192206723371442,,net_0
24,-4.898263300432518,,net_0
25,-1.4453347375551857,,net_0
26,-2.7485656981879742,,net_0
27,-2.7120755985184815,,net_0
28,-1.9926159391982878,,net_0
29,-4.467992783173372,,net_0
30,-5.30044985656491,,net_0
31,-22.268818455329267,,net_1
32,-24.963763177139526,,net_1
33,-22.842215736593232,,net_1
34,-23.806682185914667,,net_1
35,-23.236331950689134,,net_1
36,-24.853606569227054,,net_1
37,-21.78196635385035,,net_1
38,-23.08270512774868,,net_1
39,-24.598679665242173,,net_1
40,-21.124012013393497,,net_1
41,-21.624349155471123,,net_1
42,-24.078230575929524,,net_1
43,-23.130364834867237,,net_1
44,-24.88647890526613,,net_1
45,-26.256995185549044,,net_1
46,3.997303514045825,,net_2
47,4.62649296121441,,net_2
48,2.3697083391269302,,net_2
49,4.221362622112963,,net_2
50,2.819809738635911,,net_2
51,2.1404340525566,,net_2
52,1.9430230874024232,,net_2
53,0.8128422866398068,,net_2
54,2.7784370983187046,,net_2
55,1.768506472105571,,net_2
56,1.5472855183354568,,net_2
57,2.2198033243269606,,net_2
58,2.7084484794326613,,net_2
59,1.7356181439236025,,net_2
60,2.570402998067948,,net_2
61,-15.71980870881714,,net_3
62,-15.540348661323378,,net_3
63,-15.48795458465662,,net_3
64,-15.64982899817062,,net_3
65,-15.598939035153592,,net_3
66,-15.23566897411223,,net_3
67,-15.162859244091749,,net_3
68,-15.411578944569499,,net_3
69,-15.389658172567579,,net_3
70,-15.698669301715029,,net_3
71,-15.407241141879695,,net_3
72,-15.397497956545465,,net_3
73,-15.362595629747545,,net_3
74,-15.27840630531739,,net_3
75,-15.76759059364764,,net_3
76,6.730971722150969,,net_4
77,6.499282722656801,,net_4
78,6.753976813573843,,net_4
79,6.716057998561212,,net_4
80,6.67589769363434,,net_4
81,6.729384736387033,,net_4
82,6.7601213038425385,,net_4
83,6.863981656654346,,net_4
84,6.599270411618477,,net_4
85,6.712687455000662,,net_4
86,6.636795722390502,,net_4
87,6.679533697665136,,net_4
88,6.85044970712687,,net_4
89,6.593364370688164,,net_4
90,6.460030501375741,,net_4
