Year,rainfall_05,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_11,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_04,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_11,nino3_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_11,nino34_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_11,nino4_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_11,tsa_12
1950,-0.13,0.45,-0.42,1.16,-0.35,-0.67,1.37,-1.33,-2.2,-1.26,-1.54,-1.37,-0.94,-1.83,-1.76,-1.0,-1.29,-0.78,-0.75,-1.61,-1.73,-1.72,-2.16,-0.92,-1.1,-1.41,-1.89,-2.31,-2.09,-1.51,-1.44,0.02,0.23,0.08,-0.63,-1.42,-2.42
1951,0.65,-0.11,-1.14,-0.11,1.02,-0.49,-0.22,-0.26,-1.19,-0.93,-0.23,0.73,0.16,-0.65,-0.71,-0.09,0.05,0.91,0.6,-1.12,-1.11,-0.26,-0.04,0.45,0.28,-1.11,-1.37,-0.6,-0.06,0.18,0.13,-2.92,-2.07,-2.4,-1.52,-0.3,-0.11
1952,0.46,0.68,1.26,0.08,1.39,-0.05,1.8,-0.01,0.11,0.01,-0.51,-0.48,-0.06,0.41,0.23,0.36,0.32,-0.64,-0.33,0.24,0.19,0.27,0.62,-0.25,-0.03,0.28,0.08,-0.06,0.25,-0.21,-0.11,-0.03,-0.21,-0.42,-0.39,-0.07,-0.46
1953,-0.71,-0.75,1.28,-0.44,-1.22,-0.08,-0.58,-0.14,0.52,1.08,1.54,0.1,-0.34,0.23,0.62,0.77,0.73,0.16,0.24,0.43,0.65,0.7,0.96,0.32,0.44,0.07,-0.07,-0.15,0.11,0.25,0.51,-0.62,-0.86,-0.19,-0.94,-0.6,-1.14
1954,-1.76,0.32,-0.11,-0.07,-0.86,0.88,-0.51,-2.03,-1.13,-1.34,-2.5,-1.2,-1.35,0.06,0.04,-0.48,-2.25,-0.94,-1.08,0.47,0.49,-0.23,-1.29,-0.7,-0.84,0.45,0.36,-0.26,-0.54,-0.94,-0.96,-1.39,-1.53,-1.52,-1.23,-0.42,-0.69
1955,0.34,-0.13,0.72,0.0,-0.53,0.12,0.71,-0.74,-1.43,-1.42,-1.11,-1.51,-1.35,-0.65,-0.75,-1.25,-1.62,-1.94,-1.69,-0.64,-0.94,-1.22,-1.62,-2.06,-1.68,-0.7,-0.99,-1.04,-1.35,-2.16,-1.6,-1.36,-1.8,-1.35,-1.55,-0.66,-1.54
1956,-0.87,-0.41,-0.59,-0.74,-0.46,0.13,-0.19,-1.05,-0.96,-0.43,-0.94,-0.88,-1.29,-0.79,-0.55,-0.52,-0.88,-0.95,-0.92,-0.83,-0.7,-0.88,-1.41,-0.83,-0.65,-1.61,-1.54,-1.47,-1.47,-0.7,-0.45,-1.59,-2.05,-1.65,-2.1,-1.33,-1.34
1957,-1.65,1.45,-0.78,-0.56,0.06,-1.02,-0.8,-1.95,0.03,1.15,1.2,0.85,0.69,-0.68,-0.3,0.53,0.75,1.09,1.25,-0.43,-0.21,0.38,0.83,1.04,1.18,-0.23,-0.12,-0.11,0.39,0.65,0.75,-1.23,-0.48,-0.39,-0.26,-0.83,-0.51
1958,-1.57,0.96,-0.92,-0.89,0.3,-0.36,0.66,0.25,0.84,0.97,0.99,-0.05,-0.21,1.41,1.44,1.05,0.65,0.12,-0.19,1.71,1.85,1.59,1.05,0.37,0.23,1.36,1.72,1.67,1.18,0.34,0.59,-0.92,-0.88,-1.65,-1.84,-1.21,-0.16
1959,-1.19,-0.81,-0.53,-0.65,-1.37,0.43,-1.56,-0.7,-0.17,0.62,0.23,0.28,-0.12,0.02,0.02,-0.25,0.1,-0.42,-0.36,0.53,0.62,0.38,0.33,-0.43,-0.28,0.64,0.51,0.31,0.53,-0.49,-0.43,-0.09,-0.04,0.49,0.35,-0.71,-0.69
1960,-1.12,-1.81,-1.11,-0.95,0.97,0.75,0.9,-0.01,-0.65,-0.59,-0.85,-0.51,-0.27,-0.17,-0.42,-0.32,-0.19,-0.6,-0.52,-0.2,-0.36,-0.37,-0.06,-0.21,-0.31,-0.73,-0.87,-0.8,-0.76,-0.06,-0.02,-1.11,-1.29,-0.44,-0.76,-0.04,-0.11
1961,0.87,0.02,0.47,-0.86,0.36,-0.39,1.53,0.22,0.83,-0.46,-0.38,-0.2,-0.34,-0.44,-0.11,-0.43,0.09,-0.57,-0.44,-0.17,-0.23,-0.45,-0.5,-0.49,-0.42,-0.19,-0.19,-0.49,-0.86,-0.53,-0.43,-0.2,-0.5,-0.27,-0.44,-0.24,-0.41
1962,0.2,1.4,1.08,-0.14,-0.2,-0.85,-1.1,-0.23,-0.83,-2.0,-1.72,-0.63,-0.85,-0.34,-0.41,-0.93,-1.24,-0.85,-0.89,-0.37,-0.51,-0.59,-0.73,-0.76,-0.73,-0.6,-0.58,-0.38,-0.5,-0.59,-0.7,-0.42,-0.61,-0.49,-0.2,-0.04,-0.59
1963,0.03,-0.22,-0.91,-0.84,-0.05,0.75,-0.48,-0.52,-0.56,-0.53,-1.08,-0.25,-0.35,-0.68,-0.71,-0.3,0.21,0.61,0.71,-0.58,-0.47,-0.06,0.18,0.74,0.89,-0.68,-0.58,-0.26,-0.24,0.49,0.32,-0.34,-0.15,0.46,0.38,1.96,1.83
1964,0.28,-1.44,-1.29,1.07,-0.24,0.64,1.04,-0.56,-1.35,-1.42,-0.95,-0.66,-1.04,0.46,0.02,-0.64,-1.72,-0.93,-1.21,0.81,0.6,-0.21,-1.02,-1.19,-1.11,0.57,0.36,-0.33,-0.36,-1.76,-1.55,1.6,0.66,0.61,-0.02,-1.92,-2.02
1965,0.29,-1.32,-0.31,2.15,-0.36,-1.23,-0.34,-0.62,-0.05,0.12,1.06,0.34,0.36,-0.86,-0.53,-0.27,0.15,1.21,1.13,-0.74,-0.45,-0.32,-0.28,1.35,1.21,-0.84,-0.53,-0.51,-0.92,0.88,0.79,-1.28,-0.39,0.06,0.09,-0.95,-0.74
1966,1.19,-0.13,-0.95,-1.52,-0.27,1.71,-0.03,0.71,-0.11,-1.07,-0.98,-0.57,-0.35,1.07,0.69,0.21,0.02,-0.67,-0.81,1.14,0.99,1.42,0.83,-0.26,-0.41,0.81,0.97,1.61,0.69,0.18,-0.06,-0.73,-0.94,-1.2,0.03,0.55,1.4
1967,-0.36,0.2,-0.3,1.16,1.86,-0.56,-1.21,-0.76,-0.41,-1.1,-0.43,-1.49,-1.56,-0.52,-0.32,-1.18,-1.4,-1.0,-0.96,-0.47,-0.58,-1.05,-1.38,-0.49,-0.58,-0.77,-0.99,-0.58,-0.2,-0.26,-0.22,0.63,0.63,-0.29,-0.7,-1.24,-0.43
1968,1.87,-0.03,-0.91,3.18,-0.16,1.07,-0.35,-1.47,-1.36,-1.37,-1.2,-0.13,0.24,-1.27,-1.94,-2.21,-1.31,0.21,0.48,-0.79,-1.2,-1.43,-0.97,0.52,0.56,-0.36,-0.41,-0.44,-0.48,0.65,0.78,-0.28,-0.83,-0.87,-0.2,1.38,1.15
1969,0.82,-0.31,-0.79,0.66,2.04,-0.8,-0.51,0.2,-0.34,0.89,1.08,0.74,0.73,0.62,0.65,0.78,0.75,0.64,0.7,0.88,1.25,1.06,0.93,0.53,0.51,1.33,1.59,1.23,0.93,0.73,0.52,0.69,1.26,0.74,0.74,-0.27,-0.59
1970,-0.56,1.18,0.41,0.63,0.89,0.02,-0.96,0.67,-0.04,-0.84,-0.38,-0.96,-0.86,0.65,0.33,-0.27,-0.25,-1.2,-1.06,0.47,0.5,0.3,0.4,-1.0,-1.14,0.55,0.72,0.51,0.53,-0.98,-1.62,-1.14,-0.88,-0.72,-0.92,-0.66,-0.96
1971,0.76,0.04,0.79,0.31,1.06,1.02,-1.55,-1.24,-1.66,-1.2,-0.34,-0.6,-0.87,-1.43,-1.95,-1.94,-1.34,-1.0,-1.2,-1.56,-1.63,-1.78,-1.63,-0.83,-1.01,-1.86,-1.55,-1.71,-1.81,-0.89,-0.61,-0.23,-0.12,-0.37,0.06,-2.07,-2.09
1972,-0.73,-1.0,0.92,-1.61,0.24,-1.26,-0.66,-0.18,0.99,0.87,0.77,1.41,1.73,-0.61,-0.55,-0.27,0.31,1.87,1.95,-0.75,-0.45,-0.09,0.4,1.85,1.83,-0.51,-0.12,0.07,0.61,0.96,1.07,-0.42,-0.34,-0.67,-0.1,1.23,2.13
1973,2.0,-1.06,-0.06,-0.31,-1.33,1.59,-0.04,1.6,0.59,0.08,-0.3,-0.91,-0.85,1.79,1.25,0.53,-0.77,-1.49,-1.4,1.68,1.45,0.79,-0.19,-2.06,-1.9,1.19,1.03,0.56,-0.01,-2.07,-2.3,1.99,1.77,1.26,1.82,1.52,0.9
1974,0.18,0.33,-0.78,-0.76,2.16,0.21,0.72,-1.02,-1.13,-0.55,-0.15,-0.72,-1.1,-1.55,-1.52,-1.41,-0.92,-0.78,-0.71,-1.81,-1.78,-1.94,-1.72,-0.85,-0.74,-2.32,-1.85,-1.69,-2.01,-1.17,-1.13,0.74,0.2,0.16,0.77,0.67,0.17
1975,0.06,0.52,0.71,0.76,-0.91,-0.95,-0.13,-1.03,-1.0,-0.18,-0.01,-1.92,-1.65,-0.34,-0.89,-1.28,-0.65,-1.23,-1.48,-0.31,-0.64,-1.26,-1.07,-1.42,-1.62,-0.6,-0.36,-0.8,-1.17,-2.2,-2.14,-0.56,-0.69,-0.59,-0.47,-0.15,-0.96
1976,-1.5,0.11,2.43,1.39,-1.12,-0.26,-0.57,-1.06,-0.63,-0.27,0.36,0.42,0.57,-1.72,-1.4,-0.96,-0.82,0.76,0.6,-1.74,-1.36,-0.94,-1.01,0.7,0.61,-1.76,-1.31,-1.14,-0.8,0.42,0.02,-1.34,-1.26,-1.42,-1.94,-1.39,-0.64
1977,0.0,-1.01,-0.17,0.11,-0.54,-1.13,0.03,0.61,-0.15,-0.29,-0.11,-0.29,-0.3,0.95,0.86,0.71,-0.58,0.27,0.33,0.85,0.62,0.58,-0.02,0.59,0.71,0.17,0.1,0.07,0.27,0.61,0.78,-0.73,-0.18,-0.22,-0.26,-0.3,-0.28
1978,0.28,0.13,-0.71,0.84,-0.93,-1.61,-1.17,0.05,-0.17,-0.85,-0.5,0.1,0.18,0.31,0.18,-0.39,-1.07,-0.14,0.06,0.72,0.51,0.0,-0.75,-0.23,-0.03,0.75,0.49,0.02,-0.62,-0.21,-0.0,-0.73,-0.96,-1.35,-1.89,-1.33,-0.51
1979,0.43,0.85,-0.59,-0.36,0.4,-0.34,0.52,0.67,-0.19,-0.23,0.21,0.19,0.06,-0.19,-0.21,0.32,0.61,0.58,0.5,-0.04,-0.14,0.34,0.47,0.42,0.54,0.3,0.22,0.16,0.11,0.49,0.44,-0.64,-0.83,-1.0,-0.15,0.11,-0.16
1980,-1.74,-1.18,-1.55,-0.61,-0.29,1.24,-0.91,0.19,-0.05,0.42,0.31,-0.12,-0.27,0.64,0.35,0.05,0.19,0.04,0.14,0.63,0.47,0.3,0.35,0.03,0.19,0.64,0.68,0.56,0.65,0.2,0.12,-0.62,-1.1,-0.87,-0.47,-0.8,-1.59
1981,-0.06,-0.22,-0.78,-0.36,-0.66,1.93,-0.98,-1.36,-1.03,-0.08,-0.32,-0.08,0.1,-0.42,-0.85,-0.66,-0.41,-0.17,0.12,-0.13,-0.51,-0.6,-0.4,-0.2,-0.04,-0.03,-0.16,-0.16,-0.52,-0.05,0.05,-0.95,-1.45,-1.83,-1.55,0.7,0.14
1982,0.2,0.62,-0.73,1.16,-0.65,-0.67,1.7,0.25,-0.35,-0.74,-0.33,2.89,3.17,0.45,0.26,0.27,0.55,2.38,2.61,0.32,-0.02,0.52,0.81,1.94,2.12,0.17,0.11,0.47,0.99,0.91,0.9,-0.12,-0.72,-0.75,-1.1,-0.89,-0.53
1983,-0.69,-2.9,-1.6,0.99,-1.32,-1.32,1.75,3.35,3.25,3.42,3.52,0.79,0.51,3.06,3.21,3.14,2.88,-0.58,-0.41,2.3,2.36,2.38,2.0,-0.89,-0.69,0.82,0.83,0.72,0.53,-0.81,-0.73,0.72,0.82,-0.57,-0.84,0.11,0.87
1984,0.32,-0.19,0.55,-1.0,0.16,-0.94,-0.91,-0.01,-0.62,-0.24,0.19,0.11,-0.08,-0.28,0.19,0.05,-0.29,-0.74,-0.92,-0.44,0.02,-0.32,-0.6,-0.98,-1.08,-0.68,-0.61,-0.93,-1.13,-0.78,-0.81,1.69,1.58,1.77,1.14,0.85,0.52
1985,1.06,-0.17,0.34,-0.42,-1.82,-0.5,1.98,-0.55,-1.06,-0.54,-1.01,-0.41,-0.05,-0.97,-0.78,-1.05,-1.24,-0.49,-0.51,-0.85,-0.57,-0.84,-1.36,-0.17,-0.22,-0.48,-0.7,-1.09,-1.31,-0.05,0.08,0.69,1.23,0.13,0.22,0.64,0.62
1986,-0.37,-0.2,0.12,-0.18,-0.41,1.75,0.26,0.24,0.19,-0.44,-0.51,0.49,0.75,-0.69,-0.42,-0.18,-0.13,0.76,0.83,-0.4,-0.54,-0.26,-0.04,0.96,1.01,0.03,-0.06,0.02,-0.24,0.87,0.74,0.36,1.1,0.74,0.56,-0.57,-0.06
1987,-0.72,0.08,0.07,-0.45,-0.28,-0.6,-0.35,1.5,1.61,2.11,1.49,1.24,0.79,1.19,1.7,2.21,1.87,1.11,1.06,1.22,1.51,1.99,1.71,1.15,0.96,0.69,1.0,1.21,1.06,1.4,1.27,-0.14,0.04,0.18,-0.07,1.79,0.87
1988,0.57,-0.17,2.43,-0.57,-0.67,0.59,2.23,0.53,-0.07,-0.49,-0.34,-0.63,-0.54,0.99,0.39,0.27,-0.36,-1.3,-1.22,0.98,0.49,0.33,-0.21,-1.75,-1.61,1.18,0.94,0.6,-0.03,-1.87,-1.83,1.55,1.61,1.72,1.38,0.35,0.37
1989,3.15,0.09,1.24,-0.71,0.55,1.8,-0.05,-0.14,0.15,0.07,-0.03,0.04,-0.12,-1.2,-1.03,-1.39,-1.02,-0.34,-0.21,-1.71,-1.52,-1.53,-1.46,-0.33,0.01,-1.93,-1.78,-1.51,-1.27,-0.33,0.17,0.94,0.44,0.66,0.59,-0.24,-0.74
1990,0.04,-0.58,-0.84,-0.23,-0.86,-0.74,-0.68,-0.17,0.46,0.02,-0.3,-0.25,-0.03,-0.09,0.28,-0.2,0.22,-0.01,0.09,0.16,0.35,0.28,0.4,0.22,0.41,0.54,0.81,0.91,0.67,0.83,0.94,-1.14,0.17,0.59,0.74,0.43,0.45
1991,0.82,-0.07,-0.53,-0.13,0.26,-1.7,-1.03,-0.12,0.13,0.23,0.03,0.83,0.97,0.28,0.16,0.04,0.43,0.99,1.16,0.6,0.57,0.39,0.81,1.27,1.58,1.05,1.03,0.98,1.18,1.19,1.22,0.13,-0.02,0.13,0.64,-1.07,-0.31
1992,-1.22,-0.55,-0.17,0.27,-1.05,-1.3,0.49,0.89,1.41,1.69,1.96,0.2,0.2,1.49,1.74,1.91,2.16,-0.1,-0.02,1.88,2.17,2.27,2.35,0.02,0.14,1.14,1.46,1.4,1.38,0.34,0.52,-0.95,-0.88,-1.22,-1.68,-2.39,-1.01
1993,-1.44,1.75,3.08,-0.94,0.55,0.95,0.32,0.32,0.77,0.78,1.18,0.52,0.39,0.14,0.76,0.98,1.76,0.19,0.23,0.35,0.64,0.92,1.64,0.22,0.3,0.82,0.54,0.56,0.67,0.5,0.53,-0.89,-0.53,-0.44,0.35,2.14,1.15
1994,-0.66,1.0,1.08,-0.63,-0.63,0.36,-0.03,0.28,0.08,-0.53,-0.6,0.74,1.02,0.41,0.19,-0.2,-0.03,0.9,0.89,0.34,0.35,0.47,0.88,1.16,1.25,0.54,0.26,0.62,0.77,1.35,1.46,0.69,0.15,0.38,0.3,0.17,0.4
1995,-0.23,0.02,-1.37,-0.21,1.7,1.63,-0.76,1.18,0.49,-0.07,-0.65,0.05,-0.48,1.0,0.83,0.25,-0.12,-0.76,-0.7,1.16,1.05,0.95,0.88,-0.84,-0.73,1.36,1.46,1.61,1.36,-0.3,-0.34,0.91,1.47,1.64,1.43,0.29,-0.11
1996,-1.13,3.3,-0.22,0.17,1.16,-0.18,-0.98,-0.47,-0.15,0.08,-1.09,-0.81,-0.86,-0.57,-0.66,-0.41,-0.68,-0.36,-0.69,-0.65,-0.76,-0.67,-0.23,-0.23,-0.42,-0.29,-0.39,-0.26,-0.4,0.06,0.16,0.3,0.99,0.96,1.53,0.29,-0.26
1997,0.12,-0.74,0.58,2.18,-0.08,0.05,0.44,-0.56,0.4,1.02,1.08,4.13,4.29,-0.63,-0.69,-0.32,0.22,3.09,2.97,-0.36,-0.26,-0.25,0.61,2.36,2.2,0.34,0.58,0.83,1.72,1.2,1.09,-0.81,-1.1,-1.4,-1.5,2.26,2.48
1998,0.33,0.21,-1.01,-1.13,0.93,-0.3,-0.4,4.32,4.2,3.57,2.81,0.06,0.26,3.27,3.48,3.67,3.14,-0.42,-0.67,2.41,2.47,2.32,1.81,-1.05,-1.31,1.15,1.21,0.85,0.27,-1.38,-1.59,1.8,1.83,1.52,1.25,0.88,0.17
1999,2.05,1.46,-0.19,-0.9,1.08,0.31,-0.31,-0.28,-0.24,-0.09,-0.76,-1.05,-0.47,-0.88,-0.71,-0.37,-0.77,-1.16,-1.17,-1.39,-1.27,-1.05,-1.16,-1.27,-1.39,-1.83,-1.85,-1.6,-1.41,-1.1,-1.34,0.16,-0.04,0.61,1.01,0.91,0.8
2000,-0.68,0.76,0.58,0.2,2.28,-0.1,-0.38,-0.73,-0.58,-0.53,-0.0,-0.73,-0.58,-1.42,-1.13,-0.5,0.02,-0.43,-0.37,-1.52,-1.54,-1.3,-1.09,-0.62,-0.68,-1.34,-1.66,-2.0,-1.89,-0.61,-0.84,0.38,0.88,0.79,0.8,0.14,-0.13
2001,-0.09,0.74,-0.57,-1.07,-1.37,-1.49,-0.14,-0.31,-0.22,0.59,0.58,-0.5,-0.64,-0.18,-0.02,0.41,0.24,-0.49,-0.44,-0.54,-0.47,-0.35,-0.33,-0.16,-0.3,-0.9,-0.84,-0.65,-0.42,0.5,0.39,0.24,0.28,0.51,0.82,0.4,-0.08
2002,0.23,1.11,-0.38,-1.29,0.61,-1.18,1.03,-0.26,0.67,1.12,0.67,1.04,0.84,-0.34,-0.18,0.46,0.46,1.25,1.16,0.03,0.17,0.33,0.54,1.42,1.31,0.82,0.97,0.94,1.38,1.5,1.41,0.19,-0.34,0.51,0.64,-0.27,0.77
2003,-0.21,-2.06,0.55,-1.15,0.75,-0.71,-1.6,0.25,0.19,0.44,-0.28,0.31,0.33,0.91,0.87,0.73,-0.24,0.76,0.78,0.92,1.01,0.93,0.3,0.52,0.46,1.14,1.26,1.41,1.22,0.93,0.91,1.35,1.37,1.36,0.93,1.55,1.3
2004,1.83,-1.21,-1.2,1.05,-0.96,-2.0,-1.0,0.41,0.73,-0.46,0.04,0.84,0.71,0.66,0.72,0.64,0.5,0.71,0.75,0.43,0.43,0.41,0.59,0.8,0.8,0.96,0.91,0.71,0.61,1.36,1.46,0.94,0.42,-0.24,-0.86,0.64,0.97
2005,-0.15,-1.37,0.46,0.13,0.91,0.41,0.8,0.54,-0.55,-0.66,0.01,-0.76,-0.43,0.64,0.35,0.62,0.78,-0.69,-0.79,0.87,0.75,1.09,0.99,-0.31,-0.56,1.58,1.35,1.49,1.24,0.2,-0.08,1.49,1.15,1.31,0.59,-0.27,-0.16
2006,1.42,-1.28,0.6,-0.57,-0.69,1.41,1.1,0.16,0.75,0.22,-0.74,0.88,0.94,-0.57,0.08,-0.05,0.07,1.23,1.2,-0.61,-0.46,-0.56,0.03,1.09,1.13,-0.33,-0.64,-0.53,-0.08,1.4,1.39,-0.09,0.44,0.81,0.64,0.17,0.7
2007,-0.75,1.49,-1.32,0.15,0.26,0.58,1.2,1.12,0.72,0.08,-0.52,-1.37,-1.13,1.14,0.47,-0.04,-0.29,-0.98,-0.98,0.92,0.46,0.28,0.08,-1.04,-1.04,1.23,1.07,1.14,0.85,-0.73,-0.82,0.47,0.39,-0.12,0.45,0.23,0.4
2008,0.24,1.3,0.16,2.36,0.28,1.25,2.77,-0.12,0.82,0.77,0.27,0.08,0.15,-1.08,-1.13,-0.71,-0.2,0.1,-0.24,-1.31,-1.55,-1.43,-1.12,-0.23,-0.58,-1.27,-1.72,-1.6,-1.41,-0.51,-0.62,0.33,0.8,1.29,1.51,0.85,0.92
2009,-1.26,0.3,1.62,-0.91,-1.01,-0.55,0.45,0.36,-0.05,-0.19,0.65,0.34,0.4,-0.27,-0.21,-0.34,0.34,1.06,1.07,-0.72,-0.63,-0.35,0.22,1.39,1.44,-0.75,-0.67,-0.36,0.21,1.78,1.74,1.05,0.77,1.14,1.19,0.82,1.65
2010,-0.75,0.13,0.65,-1.18,-0.16,-0.45,0.78,0.41,0.67,0.56,0.62,-1.03,-0.52,1.13,1.39,1.39,1.07,-0.94,-0.81,1.45,1.55,1.63,1.18,-1.16,-1.15,1.73,1.53,1.74,1.68,-1.34,-1.28,1.99,1.66,2.02,1.61,1.11,0.92
2011,-0.18,-0.66,1.95,0.02,2.07,1.15,-0.36,0.3,0.59,-0.4,0.03,-0.52,-0.72,-0.96,-0.64,-0.68,0.04,-0.67,-0.52,-1.28,-1.06,-0.93,-0.62,-0.77,-0.69,-1.21,-0.81,-0.44,-0.4,-0.78,-0.86,1.05,1.42,1.59,1.11,-0.21,-1.31
2012,-0.72,0.93,0.07,-0.45,-1.29,1.29,0.49,-0.34,0.63,0.51,0.79,-0.26,-0.36,-0.2,0.12,0.36,0.48,0.24,-0.26,-0.59,-0.51,-0.42,-0.43,0.42,-0.14,-0.81,-0.62,-0.6,-0.44,0.77,0.41,-1.09,-1.56,-0.42,-1.05,0.02,0.35
2013,-0.02,0.35,0.56,1.08,1.07,1.63,-1.46,0.07,0.09,-0.23,-0.79,0.0,0.08,-0.49,-0.41,-0.02,0.05,0.03,0.07,-0.37,-0.38,-0.35,0.08,-0.03,-0.08,0.4,0.06,-0.4,-0.1,0.18,0.14,0.88,0.5,0.44,0.74,-0.27,0.17
2014,1.71,-0.36,-0.33,2.11,-0.66,0.22,-0.6,0.36,-0.19,0.01,0.14,0.8,0.61,-0.15,-0.48,0.0,0.43,0.95,0.81,-0.4,-0.65,-0.46,0.1,0.83,0.74,-0.03,0.25,0.47,0.91,1.11,1.22,0.11,0.42,0.33,0.43,-1.01,-0.41
2015,0.41,0.22,-0.62,0.53,-1.6,-1.06,-1.17,0.32,-0.05,0.54,0.87,2.27,2.12,0.72,0.48,0.75,1.41,2.55,2.41,0.69,0.63,0.9,1.57,2.38,2.28,1.32,1.41,1.78,2.33,1.94,1.95,0.99,0.96,0.36,0.77,1.02,1.65
