Year,RAINFALL
1970,98.80000000000001
1971,182.29999999999998
1972,94.2
1973,181.8
1974,24.4
1975,55.0
1976,123.0
1977,190.79999999999995
1978,115.6
1983,195.8
1984,123.19999999999999
1985,161.7
1986,214.59999999999997
1987,46.30000000000001
1988,111.5
1989,185.60000000000002
1990,56.0
1991,79.4
1992,87.39999999999999
1993,99.8
1994,91.8
1995,81.0
1996,186.0
1997,60.9
1998,73.5
1999,132.3
2000,47.199999999999996
2001,28.1
2002,216.1
2003,96.89999999999999
2004,66.0
2005,75.19999999999999
2006,66.0
2007,28.5
2009,25.999999999999996
2010,116.89999999999999
