,Valor,Relacao
rainfall_05,1.0,Positiva
tsa_05,0.348648169548508,Positiva
rainfall_06,0.2937695569332914,Positiva
nino34_05,0.27504944103542095,Negativa
rainfall_07,0.2720263915953923,Positiva
rainfall_09,0.23749759629263154,Positiva
nino3_05,0.2285325099480098,Negativa
nino12_05,0.22076783854954815,Negativa
rainfall_03,0.18670496051804958,Positiva
nino4_05,0.17488689122706497,Negativa
rainfall_01,0.1276731560301087,Negativa
rainfall_11,0.10692846195894433,Positiva
rainfall_12,0.06661257097519649,Positiva
rainfall_08,0.06410747429299908,Negativa
rainfall_02,0.06093025709088403,Negativa
rainfall_10,0.052837871146707766,Positiva
rainfall_04,0.03908888265133028,Positiva
